m1_surv,m2_surv
0.80721,0.92086
0.80721,0.92086
0.80721,0.92086
0.80721,0.91921
0.80721,0.91921
0.80721,0.91921
0.80721,0.91921
0.80721,0.91921
0.80192,0.91921
0.80192,0.91921
0.79302,0.91921
0.78836,0.91921
0.77567,0.91921
0.77567,0.91921
0.77567,0.91921
0.7699,0.91921
0.7699,0.91921
0.7699,0.91921
0.7699,0.91921
0.7699,0.91921
0.7699,0.91921
0.7699,0.91921
0.7699,0.91921
0.7699,0.91921
0.7699,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.73863,0.91921
0.73863,0.91921
0.73863,0.91921
0.73863,0.91921
0.73863,0.91921
0.73863,0.91921
0.73863,0.91921
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.72999,0.91745
0.72999,0.91745
0.72999,0.91745
0.72999,0.91745
0.72999,0.91745
0.72999,0.91745
0.72999,0.91745
0.72999,0.91745
0.72999,0.91745
0.71429,0.91745
0.71429,0.91745
0.71429,0.91745
0.71429,0.91745
0.71429,0.91745
0.71429,0.91745
0.71429,0.91745
0.71429,0.91745
0.71429,0.91745
0.71429,0.91745
0.71429,0.91745
0.71429,0.91745
0.71429,0.91745
0.71429,0.91745
0.71429,0.91745
0.66603,0.91745
0.66603,0.91745
0.66603,0.91745
0.66603,0.91745
0.66603,0.91745
0.66603,0.91745
0.66603,0.91745
0.66603,0.91745
0.66603,0.91745
0.66603,0.91745
0.66603,0.91745
0.66603,0.91745
0.66603,0.91745
0.66603,0.91745
0.66603,0.91745
0.66603,0.91745
0.66603,0.91745
0.66603,0.91745
0.66603,0.91745
0.66603,0.91745
0.66603,0.91745
0.66603,0.91534
0.66603,0.91534
0.66603,0.91534
0.66603,0.91534
0.66603,0.91534
0.66603,0.91534
0.66603,0.91319
0.66603,0.91319
0.66603,0.91319
0.66603,0.91319
0.66603,0.91319
0.66603,0.91319
0.66603,0.91319
0.66603,0.91319
0.66603,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
