m1_surv,m2_surv
0.22016,0.88385
0.22016,0.88385
0.22016,0.88385
0.22016,0.88385
0.22016,0.88385
0.22016,0.88385
0.22016,0.88385
0.22016,0.88343
0.22016,0.88343
0.22016,0.88343
0.22016,0.88343
0.22016,0.88343
0.22016,0.88343
0.22016,0.88343
0.22016,0.88343
0.22016,0.88343
0.22016,0.88343
0.22016,0.88343
0.22016,0.88343
0.22016,0.88343
0.22016,0.88343
0.22016,0.883
0.22016,0.883
0.22016,0.883
0.22016,0.883
0.22016,0.88258
0.22016,0.88215
0.22016,0.88215
0.22016,0.88215
0.22016,0.88215
0.22016,0.88215
0.22016,0.88215
0.22016,0.88215
0.22016,0.88215
0.22016,0.88215
0.22016,0.88215
0.22016,0.88215
0.21729,0.88215
0.21729,0.88215
0.21729,0.88215
0.21729,0.88215
0.21729,0.88215
0.21729,0.88215
0.21729,0.88215
0.21729,0.88215
0.21729,0.88171
0.21729,0.88171
0.21729,0.88171
0.21729,0.88127
0.21729,0.88127
0.21729,0.88127
0.21729,0.88127
0.21729,0.88127
0.21729,0.88127
0.21729,0.88127
0.21729,0.88127
0.21729,0.88127
0.21729,0.88127
0.21729,0.88127
0.21729,0.88081
0.21729,0.88081
0.21729,0.88081
0.21729,0.88036
0.21729,0.88036
0.21729,0.88036
0.21729,0.88036
0.21729,0.88036
0.21729,0.88036
0.21729,0.88036
0.21729,0.88036
0.21729,0.88036
0.21729,0.88036
0.21729,0.88036
0.21729,0.88036
0.21729,0.8799
0.21729,0.8799
0.21729,0.8799
0.21729,0.8799
0.21729,0.8799
0.21729,0.87944
0.21729,0.87944
0.21729,0.87944
0.21729,0.87944
0.21729,0.87897
0.21729,0.87897
0.21729,0.87897
0.21729,0.87897
0.21729,0.87897
0.21729,0.8785
0.21729,0.8785
0.21729,0.8785
0.21729,0.8785
0.21729,0.87803
0.21729,0.87803
0.21729,0.87803
0.21729,0.87803
0.21729,0.87803
0.21729,0.87803
0.21729,0.87803
0.21729,0.87755
0.21729,0.87755
0.21729,0.87755
0.21729,0.87707
0.21729,0.87707
0.21729,0.87707
0.21729,0.87707
0.21729,0.87707
0.21446,0.87707
0.21446,0.87707
0.21446,0.87658
0.21446,0.87658
0.21446,0.87658
0.21446,0.87658
0.21446,0.87658
0.21446,0.87609
0.21446,0.87609
0.21446,0.87609
0.21446,0.87609
0.21446,0.8756
0.21446,0.8756
0.21446,0.8756
0.21446,0.8756
0.21446,0.8756
0.21446,0.8756
0.21446,0.8756
0.21446,0.8756
0.21446,0.8756
0.21446,0.8756
0.21446,0.8756
0.21446,0.8756
0.21446,0.8756
0.21446,0.8756
0.21446,0.87509
